,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
32213,109,39,75,109-39-75,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32214,109,39,45,109-39-45,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32215,109,39,28,109-39-28,Regular,04,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32216,109,39,92,109-39-92,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32217,109,39,91,109-39-91,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32218,109,39,76,109-39-76,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32219,109,39,49,109-39-49,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32220,109,39,30,109-39-30,Regular,04,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32221,109,39,2,109-39-2,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32222,109,39,11,109-39-11,Regular,04,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,,,1,,,,,,,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32223,109,39,61,109-39-61,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32224,109,39,57,109-39-57,Regular,04,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32225,105,58,100,105-58-100,Regular,04,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32226,105,58,99,105-58-99,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32227,105,58,59,105-58-59,Regular,04,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32228,105,58,58,105-58-58,Regular,04,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,1,,,,,,,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32229,105,58,36,105-58-36,Regular,04,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32230,105,58,19,105-58-19,Regular,04,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,,,1,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32232,105,58,52,105-58-52,Regular,04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,,,1,,,,,,,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
32233,105,58,37,105-58-37,Regular,04,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32234,105,58,20,105-58-20,Regular,04,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32236,105,58,63,105-58-63,Regular,04,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32237,105,58,62,105-58-62,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32238,105,58,39,105-58-39,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32239,105,58,21,105-58-21,Regular,04,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32241,105,58,98,105-58-98,Regular,04,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32242,105,58,97,105-58-97,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32243,105,58,61,105-58-61,Regular,04,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32244,105,58,60,105-58-60,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32245,105,58,40,105-58-40,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,0,,,,,,,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32246,105,58,22,105-58-22,Regular,04,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32248,105,58,92,105-58-92,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32249,105,58,91,105-58-91,Regular,04,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32250,105,58,56,105-58-56,Regular,04,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32251,105,58,55,105-58-55,Regular,04,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,,,1,,,,,,,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32252,105,58,38,105-58-38,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32253,105,58,23,105-58-23,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32255,105,58,90,105-58-90,Regular,04,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32256,105,58,89,105-58-89,Regular,04,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32257,105,58,65,105-58-65,Regular,04,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,,,0,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32258,105,58,64,105-58-64,Regular,04,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32259,105,58,41,105-58-41,Regular,04,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32260,105,58,24,105-58-24,Regular,04,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32262,105,58,77,105-58-77,Regular,04,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32263,105,58,76,105-58-76,Regular,04,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32264,105,58,43,105-58-43,Regular,04,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,,,0,,,,,,,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
32265,105,58,25,105-58-25,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32267,105,58,75,105-58-75,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32268,105,58,74,105-58-74,Regular,04,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32269,105,58,46,105-58-46,Regular,04,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32270,105,58,26,105-58-26,Regular,04,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32271,105,58,16,105-58-16,Regular,04,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32272,105,58,67,105-58-67,Regular,04,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32273,105,58,66,105-58-66,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32274,105,58,42,105-58-42,Regular,04,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32275,105,58,27,105-58-27,Regular,04,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,,,0,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32276,105,58,1,105-58-1,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,0,,,,,,,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32277,105,58,73,105-58-73,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32278,105,58,72,105-58-72,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32279,105,58,45,105-58-45,Regular,04,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32280,105,58,28,105-58-28,Regular,04,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32281,105,58,17,105-58-17,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,0,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32282,105,58,96,105-58-96,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32283,105,58,95,105-58-95,Regular,04,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32284,105,58,69,105-58-69,Regular,04,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32285,105,58,68,105-58-68,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32286,105,58,44,105-58-44,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32287,105,58,29,105-58-29,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32289,105,58,71,105-58-71,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32290,105,58,70,105-58-70,Regular,04,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,,1,,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32291,105,58,47,105-58-47,Regular,04,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,,,1,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32292,105,58,30,105-58-30,Regular,04,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32293,105,58,15,105-58-15,Regular,04,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,,,1,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32294,105,58,80,105-58-80,Regular,04,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32295,105,58,79,105-58-79,Regular,04,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32296,105,58,49,105-58-49,Regular,04,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32297,105,58,31,105-58-31,Regular,04,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32298,105,58,11,105-58-11,Regular,04,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32299,105,58,86,105-58-86,Regular,04,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32300,105,58,85,105-58-85,Regular,04,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32301,105,58,50,105-58-50,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32302,105,58,32,105-58-32,Regular,04,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32303,105,58,14,105-58-14,Regular,04,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,,,1,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32304,105,58,33,105-58-33,Regular,04,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32305,105,58,12,105-58-12,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32306,105,58,82,105-58-82,Regular,04,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32307,105,58,81,105-58-81,Regular,04,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32308,105,58,54,105-58-54,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32309,105,58,34,105-58-34,Regular,04,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32310,105,58,10,105-58-10,Regular,04,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32311,105,58,84,105-58-84,Regular,04,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32312,105,58,83,105-58-83,Regular,04,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32313,105,58,51,105-58-51,Regular,04,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32314,105,58,35,105-58-35,Regular,04,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,,,0,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32315,105,58,18,105-58-18,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32316,105,58,88,105-58-88,Regular,04,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32317,105,58,87,105-58-87,Regular,04,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32318,105,58,78,105-58-78,Regular,04,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,1,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32319,105,58,13,105-58-13,Regular,04,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,0,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32320,105,58,94,105-58-94,Regular,04,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32321,105,58,93,105-58-93,Regular,04,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,,,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32322,105,58,53,105-58-53,Regular,04,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,1,,,,,,,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32323,105,58,57,105-58-57,Regular,04,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32324,105,58,48,105-58-48,Regular,04,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32325,106,60,92,106-60-92,Regular,07,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,,,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32326,106,60,91,106-60-91,Regular,07,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,,,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32327,106,60,90,106-60-90,Regular,07,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32328,106,60,89,106-60-89,Regular,07,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,,,,,0,,,,,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32329,106,60,70,106-60-70,Regular,07,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32330,106,60,69,106-60-69,Regular,07,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32331,106,60,52,106-60-52,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32332,106,60,51,106-60-51,Regular,07,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32333,106,60,31,106-60-31,Regular,07,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32334,106,60,30,106-60-30,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32335,106,60,21,106-60-21,Regular,07,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32336,106,60,11,106-60-11,Regular,07,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32337,106,60,4,106-60-4,Regular,07,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32338,106,60,80,106-60-80,Regular,07,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32339,106,60,79,106-60-79,Regular,07,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32340,106,60,62,106-60-62,Regular,07,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32341,106,60,61,106-60-61,Regular,07,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
32342,106,60,36,106-60-36,Regular,07,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
