parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 224.33, 225.33, 0.0, 0.0, 180.78197116969383, 0.0396997
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 280.22, 281.22000000000025, 0.0, 0.0, 372.04310449193935, 0.03935240000000001
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 145.74, 146.73999999999998, 0.0, 0.0, 68.42669362171463, 0.049638799999999976
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 199.19, 200.19, 0.0, 0.0, 128.04223482898132, 0.03973020000000001
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 1012.02, 1013.0200000000001, 0.0, 0.0, 858.5497653601683, 0.029190099999999993
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 617.8, 618.8, 0.0, 0.0, 984.8314881237299, 0.03887570000000001
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 270.93, 271.93, 0.0, 0.0, 206.41745347717085, 0.029777799999999983
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 150.54, 151.54, 0.0, 0.0, 109.12235517986221, 0.04982780000000003
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 189.44, 190.44000000000003, 0.0, 0.0, 166.33155563512295, 0.04963939999999999
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 417.63, 418.6300000000001, 0.0, 0.0, 895.2565403838164, 0.04846730000000001
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 133.42, 134.41999999999996, 0.0, 0.0, 40.4717629959457, 0.0498216
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 179.19, 180.19, 0.0, 0.0, 128.82078209667878, 0.04928660000000001
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 241.19, 242.18999999999994, 0.0, 0.0, 237.55814846054005, 0.04937630000000001
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 382.92, 383.9200000000001, 0.0, 0.0, 356.91367807916805, 0.048421900000000004
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 61.0, 62.0, 0.0, 0.0, 0.0, 0.09999999999999983
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 59.0, 60.0, 0.0, 0.0, 0.0, 0.09999999999999983
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 66.26, 67.25999999999999, 0.0, 0.0, 19.072818354925943, 0.09969219999999997
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 63.66, 64.66000000000001, 0.0, 0.0, 32.78085416824888, 0.09972819999999993
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 66.84, 67.84000000000002, 0.0, 0.0, 20.634786163176003, 0.0993066
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 70.58, 71.58000000000003, 0.0, 0.0, 44.91195386531296, 0.09928369999999997
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 75.04, 76.04000000000006, 0.0, 0.0, 38.892138022998935, 0.098488
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 106.76, 107.76000000000005, 0.0, 0.0, 89.6362783698654, 0.09692440000000001
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 132.91, 133.91000000000005, 0.0, 0.0, 116.34707516736292, 0.09696960000000004
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.1, StatRejectNull, 1.0, 92.1, 93.09999999999997, 0.0, 0.0, 84.17083818045296, 0.09844350000000002
