parameters, N, reportedMean, reportedMeanDiff, nsuccess, ntrials, totalSamples, stddev, percentHist
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.001, 10000, 10000, 661134, 24.772858947646743 , "10000 [1:10000 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.002, 10000, 10000, 721183, 35.78081476308219 , "10000 [1:10000 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.03, 818, 10000, 3283358, 4815.039634434095 , "10000 [1:492 2:3 5:1 8:1 9:1 10:1 11:319 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.005, 10000, 10000, 955955, 67.17470118839394 , "10000 [1:10000 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.01, 10000, 10000, 1547796, 127.16729069945629 , "10000 [1:10000 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.04, 2179, 10000, 20126860, 2465.8737933488146 , "10000 [1:148 10:515 11:1516 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.04, 514, 10000, 60832, 428.23734047397926 , "10000 [1:510 2:1 3:1 5:1 9:1 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.02, 10000, 10000, 3996956, 322.54762274839334 , "10000 [1:9203 2:797 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.05, 4396, 10000, 42645738, 998.0014571230462 , "10000 [1:47 10:4349 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.03, 10000, 10000, 11993329, 802.555485482215 , "10000 [1:3733 2:4141 3:1988 4:137 5:1 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.001, 10000, 10000, 541591, 18.922483642217816 , "10000 [1:10000 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.04, 10000, 10000, 41516968, 1853.258879560482 , "10000 [1:1123 2:286 3:596 4:1321 5:2484 6:2779 7:1325 8:86 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.005, 10000, 10000, 742329, 49.660763763659524 , "10000 [1:10000 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.002, 10000, 10000, 582441, 26.72644224714544 , "10000 [1:10000 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.05, 3335, 10000, 31176006, 2266.28084747577 , "10000 [1:188 10:1056 11:2091 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.05, 503, 10000, 42846, 190.46182513187063 , "10000 [1:500 2:2 4:1 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.0075, 10000, 10000, 896667, 66.7726277085903 , "10000 [1:10000 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.56, -0.01, 10000, 10000, 1105160, 89.89394942931384 , "10000 [1:10000 ]"
