parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.0, 9437.720000000001, 9438.57, 700.0000000000001, 7.000000000000001, 1836.8130943630435, 0.0026989999999999957
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.06, StatRejectNull, 1.0, 1584.19, 1585.1900000000003, 0.0, 0.0, 911.7048940858002, 0.05946500000000002
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.004, StatRejectNull, 1.0, 9111.45, 9112.42, 0.0, 0.0, 1864.3801231508558, 0.004265000000000001
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 9243.36, 9244.360000000004, 0.0, 0.0, 1113.789715520843, 0.005962000000000003
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 8126.56, 8127.559999999998, 0.0, 0.0, 2361.4576740648986, 0.009851000000000007
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 6816.66, 6817.66, 0.0, 0.0, 2212.9589703381316, 0.015698000000000004
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 6254.78, 6255.780000000002, 0.0, 0.0, 2003.9029646168008, 0.019701000000000007
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 8025.85, 8026.8499999999985, 0.0, 0.0, 1825.5351948127432, 0.011678999999999997
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 4215.97, 4216.970000000001, 0.0, 0.0, 1896.8078788058638, 0.029627000000000004
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.1, StatRejectNull, 1.0, 649.89, 650.8899999999996, 0.0, 0.0, 513.8413158748524, 0.09869700000000002
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 8179.29, 8180.29, 0.0, 0.0, 1777.4864685560897, 0.009634999999999994
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 2954.52, 2955.5199999999995, 0.0, 0.0, 1589.8319060831561, 0.03946999999999999
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 10000, 0.002, StatRejectNull, 1.0, 9703.64, 9704.29, 2300.0, 23.0, 1497.887217171291, 0.0019859999999999912
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.05, StatRejectNull, 1.0, 2232.93, 2233.9299999999994, 0.0, 0.0, 1387.734133434787, 0.048968999999999985
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1237.82, 1238.8199999999993, 0.0, 0.0, 763.267441726686, 0.06907999999999999
