parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.37, 97.09, 97.09000000000002, 111.62, 0.0, 31.244869978926133
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.24, 101.92, 101.91999999999999, 115.8, 0.0, 45.17138031984411
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.2, 107.18, 107.17999999999998, 125.26, 0.0, 75.46739428388925
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.62, 101.19, 101.19, 118.71, 0.0, 34.56781595646448
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.2, 103.4, 103.39999999999996, 117.27, 0.0, 52.723618995664545
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.15, 77.42, 77.42000000000004, 85.79, 0.0, 21.061424453251014
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.15, 79.6, 79.60000000000001, 87.55, 0.0, 29.669512972072866
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.21, 86.43, 86.43, 92.51, 0.0, 34.40007412782711
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.27, 110.6, 110.59999999999998, 129.33, 0.0, 84.8323051673123
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.92, 92.99, 92.99000000000002, 109.72, 0.0, 35.5714759322691
